testID,eventDate,verbatimEventDate,Response.status,Response.result,Response.comment
052_1,2021_10_29,February 2022,INTERNAL_PREREQUISITES_NOT_MET,,dwc:eventDate is not EMPTY
052_2,,,INTERNAL_PREREQUISITES_NOT_MET,,dwc:verbatimEventDate is EMPTY
052_3,,X,INTERNAL_PREREQUISITES_NOT_MET,,dwc:verbatimEventDate is cannot be interpreted as a valid ISO 8601 date
052_4,X,1980-08-09,INTERNAL_PREREQUISITES_NOT_MET,,dwc:eventDate is not EMPTY
052_5,null,1980-08-09,INTERNAL_PREREQUISITES_NOT_MET,,dwc:eventDate is not EMPTY
052_6,1980,1980-08-09,INTERNAL_PREREQUISITES_NOT_MET,,dwc:eventDate is not EMPTY
052_7,,Friday 29th Oct. 2021,FILLED_IN,"{""dwc:eventDate"":""2021-10-29""}",dwc:verbatimEventDate contains an interpretable value (assuming some external lookup thesauri)
052_8,,03/04/2020,NOT_AMENDED,,dwc:verbatimEventDate is ambiguous - could be either 3rd April or 4th March
052_9,,0377,NOT_AMENDED,,dwc:verbatimEventDate cannot be unabiguously interpreted as a valid ISO date
052_10,,18/V/1981,FILLED_IN,"{""dwc:eventDate"":""1981-05-18""}",dwc:verbatimEventDate with Roman numerals as used in some disciplines (suggested by Paul Morris)
052_11,,xi.1996,FILLED_IN,"{""dwc:eventDate"":""1996-11""}",dwc:verbatimEventDate with Roman numerals as used in some disciplines (suggested by Paul Morris). From Vernet example
052_12,,1932.10.6,FILLED_IN,"{""dwc:eventDate"":""1932-10-06""}",dwc:eventDate interpreted from dwc:verbatimEventDate with period separators [found in the wild in VertNet data]
052_13,,15.10.1932,FILLED_IN,"{""dwc:eventDate"":""1932-10-15""}",dwc:eventDate interpreted from dwc:verbatimEventDate with period separators in soviet/post-soviet dd.mm.yyyy form
052_14,,1932年3月5日,FILLED_IN,"{""dwc:eventDate"":""1932-03-05""}","dwc:eventDate interpreted from dwc:verbatimEventDate in yyyy mm dd format with Chinese characters for year, month, and day included."
052_15,,31 August 1932,FILLED_IN,"{""dwc:eventDate"":""1932-08-31""}",dwc:eventDate interpreted from dwc:verbatimEventDate in dd Month yyyy form
052_16,,XX DEC 1932,FILLED_IN,"{""dwc:eventDate"":""1932-12""}",dwc:eventDate interpreted as yyyy-mm from dwc:verbatimEventDate in dd MMM yyyy form with XX interpreted as a no-data placeholder for day
052_17,,5. juni 1932,FILLED_IN,"{""dwc:eventDate"":""1932-06-05""}",dwc:eventDate interpreted from dwc:verbatimEventDate in dd month yyyy form for localization da_DK
052_18,,9.ii-10.iii.2000,FILLED_IN,"{""dwc:eventDate"":""2000-02-09/2000-03-10""}",dwc:eventDate interpreted from dwc:verbatimEventDate in dd.mm-dd.mm.yyyy form with Roman numeral months [found in the wild in VertNet data]
052_19,,Aug. 1987,FILLED_IN,"{""dwc:eventDate"":""1987-08""}",dwc:eventDate interpreted from dwc:verbatimEventDate in  MMM. yyyy form for localization en_US [found in the wild in VertNet data]
052_20,,11-VII-1885,FILLED_IN,"{""dwc:eventDate"":""1885-07-11""}",dwc:eventDate interpreted from dwc:verbatimEventDate in dd-mm-yyyy form with Roman numeral months [found in the wild in MCZ data]
052_21,,1980s,FILLED_IN,"{""dwc:eventDate"":""1980-01-01/1989-12-31""}",dwc:eventDate interpreted from dwc:verbatimEventDate expressed as a decade [found in the wild in VertNet data]
