"termo","dominio"
"type","Collection | Dataset | Event | Image | InteractiveResource | MovingImage | PhysicalObject | Service | Software | Sound | StillImage | Text"
"language","pt | en | es"
"license","CC0 | CC BY | CC BY - NC"
"basisOfRecord","PreservedSpecimen | HumanObservation | MaterialSample | LivingSpecimen | MachineObservation | FossilSpecimen | MaterialEntity | Event | Taxon | Occurrence | MaterialCitation"
"sex","Macho | Fêmea | Hermafrodita | Indeterminado"
"occurrenceStatus","Presença | Ausência | Present | Absent"
"disposition","Em coleção | Ausente | Voucher em outro local | Duplicatas em outro local"
"continent","África | Antártica | Europa | América do Norte | Oceania | América do Sul | Ásia"
"verbatimCoordinateSystem","Graus decimais | Graus minutos decimais | Graus segundos decimais | UTM"
"identificationQualifier","cf. | aff."
"typeStatus","Holótipo [originalNameUsage] | Isótipo | Síntipo | Léctotipo | Parátipo | Neótipo"
"kingdom","Animalia | Plantae | Fungi | Archaea | Chromista | Protozoa | Viruses | Bacteria"
"taxonRank","Espécie | Gênero | Subespécie | Família | Ordem | Reino | Classe | Filo | var."
"verbatimTaxonRank","sp. | spp. | subsp."
"nomenclaturalCode","ICBN | ICZN | ICTV | ICNB"
"taxonomicStatus","Aceito | Inválido | Sinônimo homotípico"
"nomenclaturalStatus","nom. ambig. | nom. illeg."
